$, tutti
# name, type, movement, audio, expression, stop, next(optional)
1, audio_movement, lesson_04/im_toti_and_i_look_like_a_strawberry, lesson_04/im_toti_and_i_look_like_a_strawberry, , sound
2, audio_movement, lesson_04/fazi_got_lost_and_he_needs_help, lesson_04/fazi_got_lost_and_he_needs_help, , sound
3, audio_movement, lesson_04/lets_say_roots_maybe_fazi_could_hear_us, lesson_04/lets_say_roots_maybe_fazi_could_hear_us, , sound
4, audio_movement, lesson_04/lets_say_roots_maybe_fazi_could_hear_us, lesson_04/lets_say_roots_maybe_fazi_could_hear_us, , sound
5, audio_movement, lesson_04/intarad_tarad, lesson_04/intarad_tarad, , sound
6, audio_movement, lesson_04/tanfagir_fagar, lesson_04/tanfagir_fagar, , sound
7, audio_movement, lesson_04/nishmar_shamar, lesson_04/nishmar_shamar, , sound
8, audio_movement, lesson_04/bintalik_talak, lesson_04/bintalik_talak, , sound
9, audio_movement, lesson_04/takhabthna_khabath, lesson_04/takhabthna_khabath, , sound
10, audio_movement, lesson_04/lakahno_lakah, lesson_04/lakahno_lakah, , sound
11, audio_movement, lesson_04/tamarad_marad, lesson_04/tamarad_marad, , sound
12, audio_movement, lesson_04/rafakin_rafak_1, lesson_04/rafakin_rafak_1, , sound
13, audio_movement, lesson_04/barha_barah, lesson_04/barha_barah, , sound
14, audio_movement, lesson_04/nitsahno_natsah, lesson_04/nitsahno_natsah, , sound
15, audio_movement, lesson_04/im_so_glad_i_came_back, lesson_04/im_so_glad_i_came_back, , sound
16, audio_movement, lesson_04/you_are_excellent_today, lesson_04/you_are_excellent_today, , sound
17, audio_movement, lesson_04/ill_give_you_some_riddles_and_some_clues, lesson_04/ill_give_you_some_riddles_and_some_clues, , sound
18, audio_movement, lesson_04/imtahnat_mahan, lesson_04/imtahnat_mahan, , sound
19, audio_movement, lesson_04/simaat_simi, lesson_04/simaat_simi, , sound
20, audio_movement, lesson_04/hitragesh_ragash, lesson_04/hitragesh_ragash, , sound
21, audio_movement, lesson_04/great_job_1, lesson_04/great_job_1, , sound
22, audio_movement, lesson_04/iaatarad_aarad, lesson_04/iaatarad_aarad, , sound
23, audio_movement, lesson_04/hitnaged_nagad, lesson_04/hitnaged_nagad, , sound
24, audio_movement, lesson_04/bishtarik_shirk, lesson_04/bishtarik_shirk, , sound
25, audio_movement, lesson_04/hishtatif_shatsf, lesson_04/hishtatif_shatsf, , sound
26, audio_movement, lesson_04/lets_answer_some_qs, lesson_04/lets_answer_some_qs, , sound
27, audio_movement, lesson_04/istaykathat_yakith, lesson_04/istaykathat_yakith, , sound
28, audio_movement, lesson_04/hitlabesh_labash, lesson_04/hitlabesh_labash, , sound
29, audio_movement, lesson_04/iktaraha_karah, lesson_04/iktaraha_karah, , sound
30, audio_movement, lesson_04/hitnaheg_nahag, lesson_04/hitnaheg_nahag, , sound
31, audio_movement, lesson_04/iktarahat_karah, lesson_04/iktarahat_karah, , sound
32, audio_movement, lesson_04/hitkablo_kabal, lesson_04/hitkablo_kabal, , sound
33, audio_movement, lesson_04/istaamal_emel, lesson_04/istaamal_emel, , sound
34, audio_movement, lesson_04/mshtamshem_shamash, lesson_04/mshtamshem_shamash, , sound
35, audio_movement, lesson_04/istaamalt_emel, lesson_04/istaamalt_emel, , sound
36, audio_movement, lesson_04/mshtamshot_shamash, lesson_04/mshtamshot_shamash, , sound
37, audio_movement, lesson_04/intasar_nasar, lesson_04/intasar_nasar, , sound
38, audio_movement, lesson_04/hitkatvo_katav, lesson_04/hitkatvo_katav, , sound
39, audio_movement, lesson_04/intasrat_nasar, lesson_04/intasrat_nasar, , sound
40, audio_movement, lesson_04/hitaalfa_alaf, lesson_04/hitaalfa_alaf, , sound
41, audio_movement, lesson_04/hitaarahti_arah, lesson_04/hitaarahti_arah, , sound
42, audio_movement, lesson_04/you_are_great_students_1, lesson_04/you_are_great_students_1, , sound
43, audio_movement, lesson_04/sing_and_play_with_the_roots, lesson_04/sing_and_play_with_the_roots, , sound
44, audio_movement, lesson_04/the_next_time_youll_be_with_fazi_if_we_magane_to_find_him, lesson_04/the_next_time_youll_be_with_fazi_if_we_magane_to_find_him, , sound
