$, tutti
# name, type, movement, audio, expression, stop, next(optional)
1, audio_movement, lesson_06/this_is_our_last_meeting, lesson_06/this_is_our_last_meeting, , sound
2, audio_movement, lesson_06/lets_see_if_youll_get_in_to_our_group, lesson_06/lets_see_if_youll_get_in_to_our_group, , sound
3, audio_movement, lesson_06/ratabit_ratab, lesson_06/ratabit_ratab, , sound
4, audio_movement, lesson_06/nathafit_nathaf_1, lesson_06/nathafit_nathaf_1, , sound
5, audio_movement, lesson_06/shomrem_shamar, lesson_06/shomrem_shamar, , sound
6, audio_movement, lesson_06/fakarit_fakar_1, lesson_06/fakarit_fakar_1, , sound
7, audio_movement, lesson_06/isbaho_sabah, lesson_06/isbaho_sabah, , sound
8, audio_movement, lesson_06/havtiho_batah, lesson_06/havtiho_batah, , sound
9, audio_movement, lesson_06/kasarit_kasar, lesson_06/kasarit_kasar, , sound
10, audio_movement, lesson_06/tsiyro_steer, lesson_06/tsiyro_steer, , sound
11, audio_movement, lesson_06/akhaar_akhaar, lesson_06/akhaar_akhaar, , sound
12, audio_movement, lesson_06/hetamatsti_amats, lesson_06/hetamatsti_amats, , sound
13, audio_movement, lesson_06/rafakin_rafak_2, lesson_06/rafakin_rafak_2, , sound
14, audio_movement, lesson_06/you_are_very_good, lesson_06/you_are_very_good, , sound
15, audio_movement, lesson_06/nishaarti_shaar, lesson_06/nishaarti_shaar, , sound
16, audio_movement, lesson_06/lamadno_lamad, lesson_06/lamadno_lamad, , sound
17, audio_movement, lesson_06/indarabit_darab, lesson_06/indarabit_darab, , sound
18, audio_movement, lesson_06/heshmeeha_shamaa, lesson_06/heshmeeha_shamaa, , sound
19, audio_movement, lesson_06/ujbirna_jabar, lesson_06/ujbirna_jabar, , sound
20, audio_movement, lesson_06/hivtiah_batah, lesson_06/hivtiah_batah, , sound
21, audio_movement, lesson_06/you_are_like_me_and_fazi, lesson_06/you_are_like_me_and_fazi, , sound
22, audio_movement, lesson_06/ttaarad_arad, lesson_06/ttaarad_arad, , sound
23, audio_movement, lesson_06/mkhtiv_katav, lesson_06/mkhtiv_katav, , sound
24, audio_movement, lesson_06/raafik_rafak, lesson_06/raafik_rafak, , sound
25, audio_movement, lesson_06/maazeen_azan, lesson_06/maazeen_azan, , sound
26, audio_movement, lesson_06/intaliko_talak, lesson_06/intaliko_talak, , sound
27, audio_movement, lesson_06/hitaakev_akav, lesson_06/hitaakev_akav, , sound
28, audio_movement, lesson_06/maklitot_kalat, lesson_06/maklitot_kalat, , sound
29, audio_movement, lesson_06/bitgahaz_gihiz, lesson_06/bitgahaz_gihiz, , sound
30, audio_movement, lesson_06/zaraah_zarah, lesson_06/zaraah_zarah, , sound
31, audio_movement, lesson_06/libseh_libis, lesson_06/libseh_libis, , sound
32, audio_movement, lesson_06/libseh_mnilbasha, lesson_06/libseh_mnilbasha, , sound
33, audio_movement, lesson_06/maakhelah_akhal, lesson_06/maakhelah_akhal, , sound
34, audio_movement, lesson_06/nigmarim_gamar, lesson_06/nigmarim_gamar, , sound
35, audio_movement, lesson_06/mihlaka_halak, lesson_06/mihlaka_halak, , sound
36, audio_movement, lesson_06/hefhedo_pahad, lesson_06/hefhedo_pahad, , sound
37, audio_movement, lesson_06/daghata_dagat, lesson_06/daghata_dagat, , sound
38, audio_movement, lesson_06/malhets_lahats, lesson_06/malhets_lahats, , sound
39, audio_movement, lesson_06/our_secret_words, lesson_06/our_secret_words, , sound
40, audio_movement, lesson_06/mashroaat_sharaa, lesson_06/mashroaat_sharaa, , sound
41, audio_movement, lesson_06/makolela_kal, lesson_06/makolela_kal, , sound
42, audio_movement, lesson_06/garoob_garab, lesson_06/garoob_garab, , sound
43, audio_movement, lesson_06/btishro_seher, lesson_06/btishro_seher, , sound
44, audio_movement, lesson_06/the_ending_of_the_roots_group, lesson_06/the_ending_of_the_roots_group, , sound
45, audio_movement, lesson_06/you_can_tell_others_about_our_geoup, lesson_06/you_can_tell_others_about_our_geoup, , sound
46, audio_movement, lesson_06/bye, lesson_06/bye, , sound
